"ActivityType","StartTime","EndTime","AltitudeAvg","AltitudeMin","AltitudeMax","Ascent","Descent","Distance","Duration","HrAvg","HrMin","Calories","SpeedAvg"
"Running",2020-10-01 16:18:08,2020-10-01 17:04:38,130.152323149544,123,138.199996948242,160.799919128418,159.199913024902,7413.33,2790,147.737312365976,86,520,9.56558709677419
"Running",2020-10-05 14:14:32,2020-10-05 15:30:02,119.265112153979,106,133,209.000190734863,206.600189208984,15666.77,4530,169.115486141663,82,1122,12.4504132450331
"Other",2020-10-06 15:35:15,2020-10-06 16:52:07,132.372470667222,121.800003051758,143,33.6000366210938,33.6000366210938,7014.63,4612,101.015294117647,82,463,5.47542671292281
"Running",2020-10-08 16:03:07,2020-10-08 16:58:33,133.989801863388,123.599998474121,144.600006103516,151.39998626709,151.39998626709,9623.78,3326,143.601379724055,82,615,10.4165989176188
"Running",2020-10-10 10:01:56,2020-10-10 11:40:09,95.3437700814951,82.1999969482422,120.800003051758,319.599899291992,328.39990234375,21277.92,5893,179.602874049028,123,1703,12.9985596470389
"Running",2020-10-13 13:46:20,2020-10-13 15:03:49,132.514096650783,121.800003051758,146.199996948242,48.4000015258789,48.1999969482422,8754.27,4649,117.386563876652,69,588,6.77895719509572
"Running",2020-10-28 13:05:33,2020-10-28 14:02:58,126.659912906542,115,147.199996948242,208.399948120117,207.599952697754,9013.91,3445,143.385989517253,87.5,715,9.41947053701016
"Running",2020-10-29 15:23:24,2020-10-29 15:58:40,127.460779244559,119.199996948242,136,26.2000122070312,26.2000122070312,5676.93,2116,141.631168831169,75,424,9.65829300567108
"Other",2020-10-30 19:17:43,2020-10-30 19:45:54,126.146666193943,121.800003051758,131.199996948242,10.599983215332,10.9999847412109,2627.82,1691,107.525490196078,80,184,5.5944127735068
"Running",2020-10-31 12:39:21,2020-10-31 14:05:51,120.199884646722,107,135.199996948242,198.200149536133,190.800148010254,15019.94,5190,151.531616375168,84,1033,10.4184554913295
"Other",2020-11-03 13:31:18,2020-11-03 13:50:34,125.979274532338,124.199996948242,127.800003051758,6.00000762939453,6.00000762939453,1839.27,1156,101.865284974093,85,147,5.72783044982699
"Running",2020-11-09 13:28:36,2020-11-09 14:29:01,154.56021991714,141,172,226.599838256836,229.99983215332,9324.25,3625,144.149931224209,91,700,9.25994482758621
"Other",2020-11-16 18:35:42,2020-11-16 18:57:05,126.651612804782,124,131.199996948242,9.39999389648438,9.59999084472656,2271.54,1283,105.981566820276,85,167,6.37376773187841
"Running",2020-11-20 15:17:40,2020-11-20 16:13:56,183.82132950618,168.199996948242,203.800003051758,217.399963378906,227.599960327148,8866.04,3376,156.551846381093,121,748,9.45430805687204
"Running",2020-11-24 18:29:10,2020-11-24 19:20:05,186.582571866307,176,207.399993896484,202.400177001953,202.400177001953,8230.14,3055,150.123694516971,84,591,9.69836464811784
"Running",2020-11-28 14:36:47,2020-11-28 15:49:49,116.671093845085,101.800003051758,132.199996948242,175.80012512207,181.200126647949,14760.08,4382,168.473732090061,106,1112,12.1260356001826
"Running",2020-12-01 16:32:14,2020-12-01 17:33:41,139.27023822611,124.400001525879,158.600006103516,213.600128173828,222.000122070312,8510.2,3687,140.887987012987,77,655,8.30938974776241
"Running",2020-12-03 17:18:12,2020-12-03 18:12:40,141.008424859053,129,160.800003051758,271.800033569336,262.000045776367,8700.6,3268,156.183455433455,122,722,9.58450428396573
"Running",2020-12-08 14:30:11,2020-12-08 15:33:13,123.970667219954,108.599998474121,143.399993896484,262.199966430664,266.199966430664,9597.37,3782,152.025850699024,94,762,9.13551877313591
"Running",2020-12-10 20:13:35,2020-12-10 20:57:07,132.556582127102,122,143,33.1999969482422,33.4000015258789,6943.52,2612,139.175519630485,62,512,9.56993568147014
"Running",2020-12-11 12:41:56,2020-12-11 13:50:18,138.963959107603,129.399993896484,156.800003051758,266.800048828125,263.000045776367,10129.57,4102,151.491001945525,103,785,8.88992003900536
"Other",2020-12-14 11:50:23,2020-12-14 13:21:03,117.988913804623,109.800003051758,127.800003051758,31.1999893188477,31.3999862670898,5983.69,5440,94.820399113082,55,459,3.95979485294118
"Running",2020-12-14 16:00:18,2020-12-14 16:28:57,179.865507237531,173.399993896484,186.199996948242,83.9999389648438,80.9999389648438,5697.28,1719,143.385989517253,87.5,487,11.9314764397906
"Running",2020-12-15 17:24:37,2020-12-15 18:47:27,125.023109429913,110.400001525879,139.399993896484,231.999877929688,229.19987487793,14747.42,4970,155.638916750251,99,1020,10.6822358148893
"Other",2020-12-16 14:17:35,2020-12-16 15:08:22,128.612877598231,122,135.800003051758,22.8000106811523,22.4000091552734,4663.28,3047,94.20523138833,67,288,5.50961864128651
"Other",2020-12-17 11:34:08,2020-12-17 13:10:22,122.41136767731,104.599998474121,138.600006103516,67.2000198364258,67.2000198364258,9687.99,5774,116.154142581888,67,721,6.04031243505369
"Other",2020-12-19 10:59:04,2020-12-19 11:29:13,128.471651760589,124.199996948242,133.399993896484,15.6000061035156,9.00000762939453,2575.41,1809,104.80062305296,84,169,5.12519402985075
"Other",2020-12-22 11:16:32,2020-12-22 11:33:17,93.4105971885833,92.5999984741211,93.8000030517578,1.20000457763672,0,495.36,1005,98.2847682119205,79,83,1.77442388059701
"Running",2020-12-23 17:09:43,2020-12-23 18:02:37,110.691074872451,90.1999969482422,149,194.599983215332,195.39998626709,7328.42,3174,134.817724701446,64,493,8.31200756143667
"Running",2020-12-28 16:51:06,2020-12-28 17:45:14,118.203806111972,106,129,278.800033569336,276.000038146973,9261.32,3248,154.092081031308,87,719,10.2650098522167
"Other",2020-12-30 12:48:33,2020-12-30 14:26:06,135.756479569514,121.800003051758,147.600006103516,49.3999862670898,49.599983215332,9649.84,5853,122.394584139265,63,757,5.93531932342388
"Other",2020-12-31 11:31:41,2020-12-31 12:43:36,93.9982477601091,70.4000015258789,134.399993896484,469.400039672852,479.80004119873,8922.54,4315,119.38423028786,72,625,7.44406581691773
"Other",2021-01-04 15:28:57,2021-01-04 17:04:49,123.281292287016,106.400001525879,162,739.000259399414,742.000259399414,22911.47,5752,161.198540906722,103,1206,14.3395848400556
"Other",2021-01-05 16:40:24,2021-01-05 17:34:44,120.938767980587,110,132.800003051758,486.999877929688,484.399879455566,13722.49,3260,158.294207784248,94,738,15.1536699386503
"Other",2021-01-05 19:57:46,2021-01-05 20:45:07,127.240572963523,122,135.800003051758,18.2000045776367,17.5999984741211,3733.71,2841,101.651551312649,84,269,4.73120591341077
"Running",2021-01-08 16:48:21,2021-01-08 17:44:37,44.5144123543809,41,51.2000007629395,101.799873352051,102.599872589111,9157.21,3376,141.536030714708,71,629,9.76479739336493
"Other",2021-01-11 15:48:50,2021-01-11 17:22:00,127.839034839184,109.400001525879,151.399993896484,644.799987792969,637.599990844727,20194.8,5590,161.449508489723,97,1240,13.005595706619
"Other",2021-01-13 16:04:11,2021-01-13 17:36:58,115.435893775573,102.199996948242,129.800003051758,737.800064086914,743.200065612793,22920.67,5567,158.341708542714,100,1162,14.8220607149272
"Other",2021-01-14 20:54:32,2021-01-14 21:15:48,125.770256864108,123.199996948242,128.800003051758,8.00000762939453,8.20000457763672,1993.79,1276,100.276923076923,65,139,5.62511285266458
"Running",2021-01-15 15:16:34,2021-01-15 16:12:29,118.009988043169,108.199996948242,129.199996948242,142.200019836426,137.000022888184,8765.7,3355,147.4887039239,98,652,9.40581818181818
"Other",2021-01-16 11:31:31,2021-01-16 12:15:59,130.631598500802,109.400001525879,148,341.000068664551,339.600074768066,11225.8,2668,161.817671284163,92,623,15.1472563718141
"Other",2021-01-17 15:51:21,2021-01-17 16:57:28,123.03031981907,107.800003051758,136.600006103516,477.60001373291,474.800010681152,17106.44,3967,156.712666834551,97,864,15.5238679102596
"Other",2021-01-18 15:12:07,2021-01-18 16:31:48,132.316519386214,111.599998474121,161.600006103516,671.399948120117,667.999946594238,19293.37,4781,150.31445186302,86,927,14.5275323154152
